[2021-03-07T15:41:28,918 ERROR] server.collection.QueueManager - Error got while parsing data to collection
[2021-03-07T15:43:29,448 ERROR] server.collection.QueueManager - Error got while parsing data to collection
[2021-03-07T15:47:49,470 ERROR] server.collection.QueueManager - Error got while parsing data to collection
[2021-03-07T15:48:08,863 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T15:51:05,792 ERROR] server.collection.QueueManager - Error got while parsing data to collection
[2021-03-07T15:51:47,802 ERROR] server.collection.QueueManager - Error got while parsing data to collection
[2021-03-07T15:53:54,068 ERROR] server.collection.QueueManager - Error got while parsing data to collection
[2021-03-07T15:54:39,113 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-07T15:55:48,936 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-07T15:59:06,929 ERROR] server.Main - class java.net.BindException got while executing the Main.java .
[2021-03-07T16:12:20,854 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T16:12:24,907 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T16:21:20,763 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-07T16:22:50,734 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-07T16:23:57,135 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T16:24:51,151 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T16:24:54,163 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T16:24:57,197 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T16:25:18,474 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T16:27:34,550 ERROR] server.Main - class java.net.BindException got while executing the Main.java .
[2021-03-07T17:04:05,107 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T17:17:43,904 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T18:41:47,306 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T19:34:15,858 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T19:39:00,621 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-07T23:20:22,969 ERROR] server.Main - class java.net.BindException got while executing the Main.java .
[2021-03-08T11:26:03,513 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-08T11:46:42,433 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-08T11:47:08,539 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-08T11:47:48,879 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-08T11:51:51,212 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-08T11:54:49,895 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-08T12:08:27,507 ERROR] server.datawork.PostgresTicketsDataBase - Can't load tickets from data base.
[2021-03-08T12:09:11,067 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-08T12:11:16,403 ERROR] server.Main - class java.net.BindException got while executing the Main.java .
[2021-03-08T12:12:03,281 ERROR] server.Main - class java.net.BindException got while executing the Main.java .
[2021-03-11T20:00:09,923 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-12T11:43:22,766 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-12T20:48:12,665 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-13T23:15:10,282 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-13T23:15:17,273 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-13T23:42:00,180 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command without.
[2021-03-14T01:44:43,772 ERROR] server.connection.DefaultServer - Error got while working with connection: class java.net.SocketException
[2021-03-14T01:44:50,717 ERROR] server.connection.DefaultServer - Error: class java.net.ConnectException. Can't send request to server.
[2021-03-15T20:45:13,169 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:48:40,666 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:48:47,717 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:52:38,251 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:55:02,414 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:55:02,421 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:55:02,426 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:55:02,430 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
[2021-03-15T20:55:02,437 ERROR] server.connection.DefaultConnectionManager - Unknown user tried to execute command.
